number,label
0,ampfc
1,parahippocampus
2,dmpfc
3,sensorimotor
4,v1
5,tpj.angular
6,precuneus
7,thalamus
8,sma
9,precentral.gyrus
10,cerebellum
11,temporal.occipital
12,amygdala
13,stg
14,white.matter
15,tpj.angular.1
16,mid.insula
17,putamen
18,anterior.insula
19,pcc
20,lo
21,superior.parietal
22,dacc
23,dlpfc
24,intercalcarine.cortex
25,anterior.vlpfc
26,l.motor
27,l.ifg
28,hippocampus
29,caudate
30,superior.frontal.gyrus
31,middle.temporal.gyrus
32,vmpfc
33,inferior.parietal
34,nacc
35,auditory
36,superior.parietal.1
37,ventral.insula
38,middle.occipital.gyrus
39,superior.loc
40,sma.1
41,cerebellum.verm
42,cerebellum.crus
43,middle.occipital.gyrus.1
44,dlpfc.1
45,r.ifg
46,inferior.loc
47,right.motor
48,somatosensory
49,sts
