subject,soc_txt,pos_words,neg_words,sentiment_score,abs_score,n_val,length
2,"30 year old, with a new child. Carrier of CF. Went to children's hospital to get tested for CF. They used electric shock on his hands for 10 minutes straight and he waited in the lobby with gauze on his wrists to produce sweat for 30 min. 

Normally healthy looking, so most people don't know he struggles with CF. Decides to lead healthy life to manage CF.
Infant child diagnosed with mutated gene that cause CF symptoms ranging in severity. Many hours to drive to hospital for testing and treatment. Financial burden to get proper treatment that is not covered by insurance.
Went through a lot of checkups to make sure she was a good candidate for a lung transplant. 
He wrote a poem about struggling with CF, feeling like a failure because he can't work to provide for himself, watching his brother die of CF, having seen so many of his family and friends pass away due to CF. The depression that living with CF causes, how difficult it is to carry on a normal relationship with someone. The hours spent at a hospital and not taking life for granted.
","['die', 'depression', 'failure', 'friends', 'good', 'struggling', 'healthy', 'shock', 'difficult', 'sure', 'granted', 'straight', 'feeling', 'lobby']","['lobby', 'feeling', 'straight', 'granted', 'sure', 'difficult', 'shock', 'healthy', 'struggling', 'good', 'friends', 'failure', 'depression', 'die']",-0.6175999999999999,6.678400000000001,18.0,97.0
3,"He was trying to explain how lonely he was, saying how he did not try to let on his struggle, and how even people with the same disease cannot meet regularly. 
I don't really remember well, I think she was talking about her child at one point. 
I don't really remember well, I think she was talking about her treatment. 
He seemed a bit angry, I think he was talking about an old lady who misunderstood his difficulties but I'm not sure. 
","['angry', 'lonely', 'misunderstood', 'sure', 'difficulties', 'well']","['well', 'difficulties', 'sure', 'misunderstood', 'lonely', 'angry']",-0.9614,2.6906,8.0,38.0
4,"Jacob took a sweat test to determine whether or not he has CF. He does not have the fully developed disease, but he is at risk for it. He feels that having CF is difficult because people with CF can't interact much due to the immune system risks.
Laura's daughter Riley was diagnosed with CF as a newborn, although a more experienced hospital later determined that she is merely at risk for the disease rather than already having it fully. There are a variety of triggers which could lead to Riley developing the disease either in a mild or severe form, and Laura worries a great deal about accidentally exposing Riley to one of those triggers.
Molly is from England and she is applying for a lung transplant. She was motivated to apply after her friend Emma passed away from CF. Molly initially thought she wouldn't be able to get a transplant due to a bacteria present in her body, but as she has been clean of the bacteria for 18 months she may be eligible. She took a set of tests in July and is retaking the same tests, as well as meeting with a variety of doctors and surgeons, to determine whether or not she will be approved for the transplant.
Morgan's lungs acted up in response to the smell of something in a store, and a woman gave him an ugly look. During the video, Morgan talked about how he could have told her all the terrible things about having CF (such as the friends he has lost and the daily struggles he experiences), or the silver linings (such as appreciating the little things in life), but instead he just smiled at her and went on his way.
","['great', 'smiled', 'ugly', 'friend', 'friends', 'motivated', 'appreciating', 'approved', 'clean', 'severe', 'struggles', 'accidentally', 'lost', 'immune', 'well']","['well', 'immune', 'lost', 'accidentally', 'struggles', 'severe', 'clean', 'approved', 'appreciating', 'motivated', 'friends', 'friend', 'ugly', 'smiled', 'great']",0.5055999999999996,9.0336,23.0,129.0
5,"Jacob learned later in life that he has CF. The nurse told him not to look CF up on the internet, but he did anyway. He feels isolated because there are no CF support communities. He is worried that his son might have CF, but that would only occur if his wife Sarah also carries the gene. He eats healthy.
Laura's child has CF, but it might not show unless triggered. She has to go on 5 hour dirves every 2-3 months. The disease is very taxing financially. Her child pooped a weird poop which made her break down because it was a sign that her child did indeed have CF.
Molly is British. She is applying for a transplant of an organ I can't remember.  She had to do a lot of testing in July to be put on the transplant list.
Morgan is poetic. I couldn't tell if he was the one with CF or his brother or both. He explained that when people are dying they need love.
","['love', 'healthy', 'isolated', 'worried', 'weird']","['weird', 'worried', 'isolated', 'healthy', 'love']",0.6486000000000001,2.2328,6.0,69.0
7,"Jacob was told not to look up CF but did it anyway and was scared after seeing the results. He had to do the sweat test and said it was super painful (10 minutes on each arm). He wish more people understood what the sickness was so that they people wouldn't ignore the fact that he is sick. 
Her baby has one gene for cystic fibrosis and she had to drive 5 hours to a hospital where thy told her the mutation may never show symptoms or it might if its triggered. She has to watch every little thing her kid does in case something gets triggered. 
Molly is trying to get a lung transplant after her friend died from CF and is reaching out to show people the effects and seriousness of the disease. Last time her organs got checked they looked good and she was going  to get them checked again very soon.
He coughed and the lady looked at him funny and he said no its okay I have CF its not contagious. He wanted tot ell her everything CF was like how many people he lost from it an dhow appreciative of life he is from it but all he did was smile and walk away. He had did a full poem. 
","['super', 'appreciative', 'sick', 'friend', 'funny', 'wish', 'smile', 'contagious', 'lost', 'okay', 'reaching', 'seriousness']","['seriousness', 'reaching', 'okay', 'lost', 'contagious', 'smile', 'wish', 'funny', 'friend', 'sick', 'appreciative', 'super']",1.0646,7.104200000000001,18.0,95.0
8,"I remember him going to the pediatrics doctor and having to be electrocuted for 10 minutes on each arm and then wear gauze in order to produce sweat. he said that he was very scared because he googled exactly what F meant and realized that he put himself into a lot of panic. He has a child and every now and then he gets scared that the baby might have it.
Her daughter has it. They have to travel about 5 hours away in order for her to see a doctor that is specialized in this disease. The parents are really cautious with her and the mom told us a lot about how the baby  experiences symptoms but she still doesn't have full on CF. 
I don't remember much from this video. Her accent and high-pitched voice mad it hard to decipher what she was saying. 
he talked a lot about the people he lost to this disease. When he went to the mall, he smelled a perfume that caused him to go into a coughing fit and some lady looked at him as if he was about to infect everyone. He wrote a beautiful poem talking about the different struggles of CF which actually made me a little emotional.
","['beautiful', 'panic', 'mad', 'scared', 'struggles', 'lost', 'emotional', 'hard']","['hard', 'emotional', 'lost', 'struggles', 'scared', 'mad', 'panic', 'beautiful']",-1.6563999999999997,3.8838000000000013,11.0,84.0
10,"Jacob went to go get tested for Cf. The process was not pleasant, and he went to a children's hospital. He worries for his child when he coughs, and talked about how his condition is not visible to others and cannot have a support group for Cf.
Laura's baby Riley has CF, but it is the kind where she doesn't have to experience so many effects. They have to drive 5 hours to get her to the right doctors.
Molly is looking to fight her disease to stay alive and has had multiple procedures and tests done on her.
Morgan spoke about his daily experiences with CF starting with how he was smelling something but began coughing and told a lady that it was not contagious, but what he didn't tell her is about losing so many friends, brothers, having depression, wearing ashes around his neck, knowing he's going to die, and how he wishes he could work, complain about Monday mornings, and that he likes hearing the birds in the morning because they're alive, and he's alive.
","['die', 'depression', 'kind', 'pleasant', 'friends', 'likes', 'support', 'alive', 'complain', 'contagious', 'wishes']","['wishes', 'contagious', 'complain', 'alive', 'support', 'likes', 'friends', 'pleasant', 'kind', 'depression', 'die']",0.5782999999999999,6.693500000000001,16.0,79.0
11,"This 30 year old man was carrying cystic fibrosis but he didn't have any symptoms of the disease. He was worried about his small child having the disease but he knew that it wasn't possible since his wife didn't have the mutation of cystic fibrosis.
Laura had a baby daughter who is carrying cystic fibrosis. When her daughter showed a symptom of cystic fibrosis, she called the place that is five hours away, but they recommended that she go to see the local doctor. She is very concerned about her daughter and is aware of all the money and time that goes in to being a parent to a child with CF.
Molly had to take a ton of tests to decide if she was available to do a transplant. After doing a number of tests, she had to be 18 months free of some sort of test until she could be eligible for the test. She had to spend a ton of time just to do the tests to see if she was eligible for the transplant.
Morgan had a lung issue in the mall because he smelled a strong perfume. A woman looked at him and seemed disgusted and he was offended because the woman knew nothing about his struggles with CF. He went on to describe his personal struggles with CF, about how his mom cried because she thought her son might die, his dad thought he was a failure because he couldn't hold a job, and how he has lost countless friends to the disease. 
","['die', 'disgusted', 'failure', 'friends', 'cried', 'struggles', 'lost', 'worried', 'offended', 'recommended', 'number']","['number', 'recommended', 'offended', 'worried', 'lost', 'struggles', 'cried', 'friends', 'failure', 'disgusted', 'die']",-1.8277,5.382500000000001,14.0,105.0
12,"Jacob started off by describing the story of when he first found out he potentially had CF. The doctor told him not to google CF, only to look at the CF Foundation webpage. He immediately googled CF before leaving the parking lot. He went to go do a skin test where they hooked up an electrode to each arm for ten minutes each, testing ion flow, but as he said, ""they electrocuted me for 10 whole minutes."" Then he went back out to the waiting room, a 30 year old man among a room full of children, waiting for 30 minutes. They had bandaged up his wrists and he began to sweat in them. When the 30 minutes was over, they took a sample off the bandage to be sent for testing of ion concentrations. 

Jacob described how CF is a lonely disease. When he first found out he had CF, he wanted to find a support group or other people who had CF. However with the nature of the disease and the immune system, it is hard to find CF groups or people who gather together. Very few of his family members and relatives understand CF. Also because he looks healthy, it is hard to advocate in the name of the disease because people think he is not sick.

He often looks at his baby son and gets scared every time he coughs. Even though he knows they are baby coughs, he fears if his son had CF. It is not possible because his wife is not a carrier for CF but still the thought crosses his mind. Jacob's philosophy in life is to stay healthy and strong to fight off any possible infections that might come his way. 
Laura told the story of having her child tested for CF. She took her baby to be tested and when she heard the news, she and her husband was devastated because they had had hopes and dreams for their children. As a parent, it is something extremely difficult to go through because you want to help your child to the best of your ability but sometimes it is hard to help. You are constantly making doctors and hospital visits. She talked about how she had to drive 5 hours to take her child to the hospital, and she empathized with other parents- what if they don't have the money to drive long trips to the hospital? What if they don't have the time or the same resources as she does to help with the health of the child? 
Molly told her story of her decision to get a lung implant (with her British? accent). At first she was not going to get an implant and the doctor advised her against it. She was going to fight CF on her own. Eventually she saw friends of hers fighting against CF and she agreed she was going to fight to and not just sit around for her body to waste itself. She consulted her mom and ultimately decided that a transplant was what she wanted. Before the transplant, she had to undergo very many tests, needles, blood drawn and other checks to make sure that her body could accept the transplant. She is about to undergo the transplant but before the operation, they have to repeat the tests. She has already talked with the doctors, nurses, social worker, and others in preparation for the transplant. 

Her life philosophy is that she wants to do everything she can to fight CF and have an impact while she is alive, rather than await the time that her body degrades.
Morgan spoke with charisma and honesty. He was walking in a mall when some smell in the air caused him to have a coughing attack. Any small thing in the air can trigger his lungs to have a reaction. A woman in the mall looks at him with those eyes as though he was cough the black plague onto everyone in the mall.

His spoken word poetry pours into what he would say to the lady to explain CF. He would tell her that CF is when your father looks at you as a disappointment because he could never be the hardworking son that his father wanted him to be. CF is having an average life span of 41 but seeing his friends fall to CF in the early 20s. CF is isolation, loneliness, given up hopes, hurt, inability and many other things.

However, Morgan switches his tone in the middle to explain the positive aspects of CF. He describes how CF is not taking any moment for granted because you are more aware that moments are few and that life is short. CF is seeing the beauty in the world and the flowers and birds. CF not taking for granted the preciousness of life and the joy in each day.
","['best', 'devastated', 'joy', 'positive', 'hurt', 'disappointment', 'honesty', 'friends', 'preciousness', 'hopes', 'inability', 'alive', 'fighting', 'sure', 'immune', 'agreed', 'granted', 'await', 'want']","['want', 'await', 'granted', 'agreed', 'immune', 'sure', 'fighting', 'alive', 'inability', 'hopes', 'preciousness', 'friends', 'honesty', 'disappointment', 'hurt', 'positive', 'joy', 'devastated', 'best']",2.5285,19.611099999999997,50.0,342.0
13,"Jacob Googled CF in the hospital parking lot even though the nurse told him not to. During his CF test he got hooked up to a battery and was ""electrocuted"" on each arm for 10 minutes. He also had to sit in a room of children sweating into gauze on his arm. Jacob is a carrier and so is his son, so he's really worried whenever his son coughs that he has full on CF. CF is a lonely disease because you can't meet up regularly because risk of infection; also it's an invisible disease so people don't acknowledge your sickness. 
Laura's daughter, Riley, was diagnosed with CF at 1 week. Initially they were told that she would live to be around 30-40 years old. They live in a small town so they have to drive 5 hours to a bigger hospital to get treatments; there they also learned that it was unclear whether Riley would develop symptoms of CF or not. It's really exhausting and expensive to treat CF, as some treatments are not covered by insurance. Laura seemed really composed and matter-of-fact. Laura found fatty stool in Riley's diaper and called the hospital. 
(I couldn't hear the audio super well). Molly was saying something about a lung transplant. She described the tests required to get on the list, including breathing tests and heart scans. She said something sad about her mom. She also said something about not wanting to be passive, but instead anything she could. 
Morgan smelled some perfume and it made him cough a lot, which scared a nearby lady. He thought of how to describe that it was because of CF, and what CF was. He described a lot of heartbreaking experiences, like being a disappointment to his father for not being ""strong"" like he expected, and of hearing his mom cry while he played, of remembering his dead brother while he drank Jack Daniels. He described wondering how long he would live, while his elementary school classmates wondered what they would be when they grew up. He wears someone's ashes in a necklace. Nurses jokingly made him a ""welcome home"" sign when he was readmitted into the hospital. Friends would stay with him in the hospital until midnight on his birthday. People don't want to date him because they don't want to see him die, which he understands so he has given up. He has seen more friends die than people usually do in four lifetimes. He decides not to explain to the lady next to the perfume. 
","['dead', 'die', 'strong', 'friends', 'welcome', 'scared', 'treat', 'like', 'played', 'worried', 'well', 'unclear', 'passive', 'want', 'matter']","['matter', 'want', 'passive', 'unclear', 'well', 'worried', 'played', 'like', 'treat', 'scared', 'welcome', 'friends', 'strong', 'die', 'dead']",-1.11,10.394399999999996,27.0,205.0
